Id,Name,Definition,Class,PropList,Picture
host,Host,"An organism that harbors another organism such as bacteria, parasites, or viruses in a symbiotic relationship.",Generic,"[""Host Defenses"", ""Points of Entry of Pathogen""]",host.jpg
pathogen,Pathogen,"a bacterium, virus, or other microorganism that can cause disease.",Pathogen,"[""Different types"", ""Different ways to infect the host""]",pathogen.jpg
sterilization,Sterilization,complete removal or killing of all viable organisms.,Generic,"[""kills bacterial spores""]",sterilization.jpg
disinfection,Disinfection,the removal or killing of disease-causing organisms.,Generic,"[""Does not kill spores"", ""Antiseptics""]",disinfection.jpg
pasteurization,Pasteurization,"the rapid heating and cooling of a substance (e.g., milk) designed to kill milk- borne pathogens such as Mycobacterium bovis, Brucella, and Listeria.",Generic,,sterilization.jpg
sanitization,Sanitization,"Process whereby pathogenic organisms are reduced to safe levels on inanimate objects, thereby reducing the risk of cross-infection",Generic,,sanitization.jpg
cleaning,Cleaning,"Removal of visible soil from objects and surfaces by water, detergents, or enzymatic products.",Generic,,cleaning.jpg
bactericidal,Bactericidal,Property by which a biocide is able to kill bacteria. Irreversible even after contact (lysis or reproductive inhibition),Generic,"[""fungicidal, sporicidal, and virucidal are analogs for associated microbes""]",bacteriostatic.jpg
bacteriostatic,Bacteriostatic,Property by which a biocide is able to inhibit bacterial multiplication temporarily,Generic,"[""Temporary"", ""fungistatic and sporostatic are respective analogs""]",bacteriostatic.jpg
biocide,Biocide,"A chemical or physical agent, usually broad spectrum, that inactivates microorganisms",Generic,,biocide.jpg
septic,Septic,Characterized by the presence of pathogenic microbes in living tissues or associated fluids.,Generic,,septic.jpg
aseptic,Aseptic,"Free of, or using methods to keep free of, microorganisms.",Generic,,aseptic.jpg
preservative,Preservative,a substance added to food products or to an organic solution to prevent chemical change or bacterial action.,Generic,,preservative.jpg
antibiotic,Antibiotic,"A substance that interferes with a particular step of cellular metabolism, may be bactericidal or bacteriostatic.",Antimicrobial,,antibiotic.jpg
physical,Physical Biocide,Physical methods of controlling bacteria or other organisms,Generic,"[""Autoclave:15lbs pressure at 121 degrees C for 15-20 minutes and is sporicidal (sterile)"", ""Radiation:UV damages DNA by formation of pyrimidine dimers"", ""Dry heat:2 hours at 180 degrees C may achieve same effect as autoclave"", ""Filtration: High Efficiency Particulate Air filtration"", ""Nitrocellulose or other pore filters: 0.45micron filters out most bacteria with walls, 0.22micron filters out all bacteria and spores""]",physical_biocide.jpg
